feature,importance
complex_maneuvers,0.2627925
velocity_variance,0.14360957
speed_range_kmh,0.10653272
speed_cv,0.08906705
high_altitude_variability,0.0850322
high_speed_variability,0.078676276
altitude_variance,0.065641545
altitude_range_ft,0.020281168
altitude_cv,0.017465034
trajectory_complexity,0.013148734
is_weekend,0.0122517925
distance_per_minute,0.011922656
total_distance_km,0.009682256
km_per_altitude_km,0.009618706
airborne_ratio,0.008273706
max_speed_kmh,0.008090054
max_altitude_ft,0.0075608017
avg_altitude_ft,0.007168677
max_climb_rate_fpm,0.0064715124
avg_speed_kmh,0.006372826
duration_minutes,0.006178426
day_of_week,0.005214646
is_speed_anomaly,0.0046449043
max_descent_rate_fpm,0.004554478
hour_of_day,0.003957509
is_peak_hour,0.0030894575
is_altitude_anomaly,0.0027008334
