trajectory_id,icao24,callsign,num_points,start_time,end_time,duration_minutes,start_lat,start_lon,end_lat,end_lon,total_distance_km,avg_speed_kmh,max_altitude_m,min_altitude_m,avg_altitude_m,altitude_change_m,altitude_variance,max_velocity_ms,min_velocity_ms,avg_velocity_ms,velocity_variance,max_climb_rate_ms,max_descent_rate_ms,avg_vertical_rate_ms,time_on_ground_minutes,time_airborne_minutes,includes_cruise,trajectory_type,speed_efficiency,altitude_stability_score,speed_stability_score,straight_line_distance_km,route_directness,route_directness_score,no_holding_score,fuel_efficiency_score,efficiency_category
0,0100a2,MSR509,8,2025-12-29 16:21:38,2025-12-29 17:33:04,71.43333333333334,23.0624,82.2718,22.1435,93.5109,1158.1922925064334,972.8166712606532,12496.8,12496.8,12496.8,0.0,0.0,296.58,279.15,286.93625,46.85908392857147,0.0,0.0,0.0,0.0,71.43333333333334,True,Long-Haul/Cruise,972.8166712606534,100.0,99.64126400519524,1157.963453136998,0.9998024167740399,99.980241677404,100.0,99.88842753703938,Excellent
1,0100a2,MSR5111,4,2025-12-30 06:48:37,2025-12-30 07:18:12,29.58333333333333,19.6234,75.708,20.3749,72.204,375.5363610981737,761.6512112413664,11582.4,10972.8,11216.64,609.6000000000004,89186.9184000001,219.99,213.71,216.8175,8.581291666666667,3.25,0.0,0.8125,0.0,29.58333333333333,True,Long-Haul/Cruise,761.6512112413665,99.61082356094094,99.93430477199588,375.5363607768899,0.9999999991444669,99.99999991444669,100.0,99.86353848277038,Excellent
2,01012b,MSR958,7,2025-12-30 09:08:33,2025-12-30 10:08:34,60.016666666666666,23.0549,82.4492,22.5295,93.2035,1106.8448091035382,1106.5374375930958,11277.6,11277.6,11277.600000000002,0.0,3.8601761919141294e-24,311.31,296.72,306.11857142857144,27.012980952380914,0.0,0.0,0.0,0.0,60.016666666666666,True,Long-Haul/Cruise,1106.5374375930955,100.0,99.79319850534496,1103.7465270568239,0.9972007981414994,99.72007981414994,100.0,99.88197551443348,Excellent
3,01013c,MSR959,9,2025-12-29 00:08:45,2025-12-29 01:24:06,75.35,22.4917,93.3753,22.9805,83.9595,972.0761355566128,774.0486812660487,9144.0,9144.0,9144.0,0.0,0.0,223.59,219.18,221.06555555555556,3.129327777777777,0.0,0.0,0.0,0.0,75.35,True,Long-Haul/Cruise,774.0486812660488,100.0,99.97604301195597,966.9941957757302,0.9947720763888801,99.477207638888,100.0,99.88825443136439,Excellent
4,010143,MSR968,4,2025-12-30 00:48:35,2025-12-30 01:18:37,30.03333333333333,18.6813,71.5672,19.0911,72.864,199.0535142162222,397.6651782344061,7993.38,1066.8,4295.139999999999,6926.58,12159982.1316,274.02,5.4,134.72,12951.869599999998,-5.53,-13.98,-10.836666666666666,7.508333333333334,22.525,True,Medium-Range,397.6651782344062,46.93864717050358,0.8452270936395556,143.84222807282012,0.7226309399218708,72.26309399218708,100.0,48.78778107768036,Fair
5,0101dd,MSR951,7,2025-12-30 09:08:33,2025-12-30 10:08:34,60.016666666666666,23.1167,83.0524,22.4405,93.1695,1043.5591499999662,1043.269352957478,11887.2,11879.58,11886.111428571428,7.6200000000008,8.294914285716029,306.58,292.96,300.9742857142857,23.779895238095264,0.0,-0.33,-0.1414285714285714,0.0,60.016666666666666,True,Long-Haul/Cruise,1043.2693529574778,99.99996380427464,99.81794982617257,1039.7418747748882,0.9963420614681227,99.63420614681226,100.0,99.87221531849661,Excellent
6,01025d,MSR971,4,2025-12-28 23:58:46,2025-12-29 00:28:46,30.0,20.1182,75.9714,20.4346,73.3246,278.3938638932282,556.7877277864563,11582.4,11574.78,11580.495,7.619999999998981,14.51609999999612,212.23,208.34,210.115,2.7513666666666468,0.0,-0.33,-0.165,0.0,30.0,True,Long-Haul/Cruise,556.7877277864563,99.99993665748063,99.97893654387815,278.3021296140149,0.9996704874240747,99.96704874240747,100.0,99.98707170888912,Excellent
7,040031,ETH637,8,2025-12-29 01:54:09,2025-12-29 03:04:06,69.95,22.453,93.2638,21.9985,84.4571,914.033537563949,784.0173302907353,10363.2,9144.0,9729.7875,1219.2000000000007,396056.2355357148,221.39,214.84,218.14,7.184285714285677,8.13,0.0,1.01625,0.0,69.95,True,Long-Haul/Cruise,784.0173302907355,98.27176722575352,99.94499973822354,907.7783600887574,0.9931565120773765,99.31565120773766,100.0,99.32816033074066,Excellent
8,040031,ETH637,5,2025-12-29 04:24:05,2025-12-29 05:04:06,40.016666666666666,19.6754,74.7925,18.5563,70.1242,506.70581014132574,759.7421559803302,10363.2,9982.2,10287.0,381.0,29032.2,225.8,221.05,223.664,2.9156299999999944,0.0,-5.53,-1.106,0.0,40.016666666666666,True,Long-Haul/Cruise,759.7421559803302,99.87331496124379,99.97767900392319,505.9829886330315,0.9985734888098231,99.85734888098231,100.0,99.92676796574656,Excellent
9,040033,ETH640,5,2025-12-30 01:58:37,2025-12-30 02:38:38,40.016666666666666,18.4089,70.3723,19.0917,72.8646,319.2770822885238,478.7161583667995,11887.2,1059.18,6440.805,10828.02,22469814.7377,267.54,4.37,153.09400000000002,11145.27248,0.0,-8.78,-5.119999999999999,8.003333333333334,32.013333333333335,True,Long-Haul/Cruise,478.7161583667995,1.9506151483432155,14.675873378627212,273.18167341123456,0.8556256886749115,85.56256886749115,100.0,42.10046033158936,Fair
10,040033,ETH611,4,2025-12-30 04:18:35,2025-12-30 04:58:38,40.05,19.094,72.8694,18.5766,69.968,312.8006971426426,468.6152766181912,9753.6,3497.58,7467.600000000001,6256.02,11911389.080400003,239.2,1.54,164.5675,12451.601291666666,6.18,-0.65,1.843333333333333,10.0125,30.0375,True,Long-Haul/Cruise,468.61527661819116,48.0234089290267,4.675098149864565,310.7128300515458,0.9933252479608614,99.33252479608615,100.0,55.67605708288461,Fair
11,040049,ETH686,6,2025-12-29 07:14:05,2025-12-29 08:04:08,50.05,28.3099,73.5021,28.5606,77.08,414.33988745566825,496.7111537930089,12496.8,198.12,5317.235999999999,12298.679999999998,25104125.92068,310.81,3.86,155.22833333333335,13378.120296666666,0.0,-9.43,-3.774,8.341666666666667,41.70833333333333,True,Long-Haul/Cruise,496.7111537930089,0.0,0.0,350.94221497922797,0.8469911432719027,84.69911432719027,100.0,36.93982286543806,Poor
12,040049,ETH689,5,2025-12-29 09:54:04,2025-12-29 10:44:08,50.06666666666667,28.5632,77.0822,26.5364,75.7401,281.355744877636,337.17732408771286,10157.46,2438.4,6291.579999999999,7719.059999999999,14896092.788399996,248.91,4.63,126.08,13938.1114,12.68,6.83,9.103333333333332,20.026666666666667,30.040000000000003,True,Long-Haul/Cruise,337.1773240877129,34.99934237796381,0.0,261.33271406822905,0.9288337587771127,92.88337587771127,100.0,49.0764778889314,Fair
13,04004b,ETH636,4,2025-12-29 07:14:05,2025-12-29 07:44:01,29.933333333333334,18.7591,70.8034,19.9749,75.2674,487.3859457090094,976.9428755859876,12496.8,12489.18,12494.895,7.619999999998981,14.51609999999612,274.69,269.68,272.3325,5.287624999999999,0.0,-0.33,-0.2475,0.0,29.933333333333334,True,Long-Haul/Cruise,976.9428755859876,99.99993665748063,99.95951987842056,487.3859451531444,0.9999999988594973,99.99999988594973,100.0,99.9878369379603,Excellent
14,04004b,ETH636,7,2025-12-29 08:44:04,2025-12-29 09:44:08,60.06666666666667,22.4926,84.6711,22.6202,94.133,978.3838577725136,977.2979711379156,12496.8,12489.18,12493.534285714286,7.619999999998981,16.589828571424135,293.72,285.88,290.75714285714287,8.121723809523877,0.33,-0.65,-0.1399999999999999,0.0,60.06666666666667,True,Long-Haul/Cruise,977.297971137916,99.99992760854927,99.93782305529531,971.5714398572412,0.9930370704083546,99.30370704083546,100.0,99.84206660732048,Excellent
15,04004b,ETH637,10,2025-12-30 01:38:40,2025-12-30 03:08:38,89.96666666666667,22.7549,94.9753,21.924,84.2855,1105.387048652343,737.1977352998213,10972.8,10965.18,10971.276000000002,7.619999999998981,10.32255999999724,212.79,200.07,203.79900000000004,18.608743333333287,0.0,-0.33,-0.132,0.0,89.96666666666667,True,Long-Haul/Cruise,737.1977352998211,99.99995495643067,99.85753827236731,1103.071672470032,0.997905370625489,99.7905370625489,100.0,99.91535538114917,Excellent
16,04004b,ETH637,5,2025-12-30 04:18:35,2025-12-30 04:58:38,40.05,19.8952,75.5701,18.7101,70.8998,508.3503992287805,761.5736318034164,11582.4,10965.18,11455.908,617.2199999999993,75268.88171999996,238.98,230.94,235.542,11.109419999999991,0.0,-0.33,-0.132,0.0,40.05,True,Long-Haul/Cruise,761.5736318034164,99.67155636852067,99.91495034684247,507.5010721659669,0.9983292487542016,99.83292487542016,100.0,99.84253698969297,Excellent
17,040062,ETH3857,6,2025-12-29 04:44:07,2025-12-29 05:34:08,50.016666666666666,22.3801,90.8033,22.1085,84.5255,653.054579436008,783.4043605363642,9144.0,9144.0,9144.0,0.0,0.0,220.46,217.42,218.83499999999995,1.7116700000000136,0.0,0.0,0.0,0.0,50.016666666666666,True,Long-Haul/Cruise,783.4043605363642,100.0,99.98689608099973,646.766858956186,0.9903718300463458,99.03718300463457,100.0,99.80350542522683,Excellent
18,040062,ETH3857,5,2025-12-29 06:54:07,2025-12-29 07:34:07,40.0,19.6469,74.6928,18.6693,70.6925,434.5991368036997,651.8987052055496,9753.6,9753.6,9753.6,0.0,0.0,227.62,225.8,226.93400000000003,0.5209299999999971,0.0,-0.33,-0.066,0.0,40.0,True,Long-Haul/Cruise,651.8987052055496,100.0,99.99601195059515,433.9958828632468,0.9986119301918324,99.86119301918323,100.0,99.9710421890152,Excellent
19,040066,ETH607,3,2025-12-29 01:44:09,2025-12-29 02:04:07,19.966666666666665,22.2538,86.3671,21.8962,84.0337,243.70464553914408,732.3344941076116,9753.6,9753.6,9753.6,0.0,0.0,219.73,218.29,219.19,0.6156000000000057,0.0,-0.33,-0.11,0.0,19.966666666666665,True,Long-Haul/Cruise,732.3344941076117,100.0,99.99528719172704,243.70464548071413,0.9999999997602428,99.99999997602428,100.0,99.99858615272296,Excellent
20,040066,ETH607,5,2025-12-29 03:14:06,2025-12-29 03:54:07,40.016666666666666,19.8243,75.3175,18.7052,70.7136,499.4035710785485,748.7933593847457,9753.6,9753.6,9753.6,0.0,0.0,229.12,222.82,226.51,5.528000000000025,0.0,0.0,0.0,0.0,40.016666666666666,True,Long-Haul/Cruise,748.7933593847458,100.0,99.95767965540463,499.00446540099114,0.9992008353550708,99.92008353550708,100.0,99.9713206037228,Excellent
