trajectory_id,icao24,callsign,start_time,weighted_risk_score,anomaly_score_normalized,final_risk_score,risk_level,is_anomaly
0,0100a2,MSR509,2025-12-29 16:21:38,0.0,88.84817419037645,4.460730323849418,LOW,1
1,0100a2,MSR5111,2025-12-30 06:48:37,0.0,94.53813532384501,2.1847458704619953,LOW,1
2,01012b,MSR958,2025-12-30 09:08:33,0.0,89.32709004035979,4.2691639838560835,LOW,1
3,01013c,MSR959,2025-12-29 00:08:45,0.0,90.21199516777382,3.9152019328904717,LOW,1
4,010143,MSR968,2025-12-30 00:48:35,35.0,43.48218486055962,43.60712605577615,MEDIUM,1
5,0101dd,MSR951,2025-12-30 09:08:33,0.0,89.54923265657072,4.180306937371711,LOW,1
6,01025d,MSR971,2025-12-28 23:58:46,0.0,95.96887492898594,1.612450028405624,LOW,1
7,040031,ETH637,2025-12-29 01:54:09,0.0,82.92351515276766,6.830593938892935,LOW,1
8,040031,ETH637,2025-12-29 04:24:05,0.0,90.08448084105409,3.966207663578365,LOW,1
9,040033,ETH640,2025-12-30 01:58:37,50.0,61.71283623593186,45.31486550562725,MEDIUM,1
10,040033,ETH611,2025-12-30 04:18:35,35.0,66.99730926756716,34.201076292973134,MEDIUM,1
11,040049,ETH686,2025-12-29 07:14:05,50.0,42.669313192669826,52.93227472293207,MEDIUM,1
12,040049,ETH689,2025-12-29 09:54:04,35.0,52.15436839526848,40.138252641892606,MEDIUM,1
13,04004b,ETH636,2025-12-29 07:14:05,0.0,93.96669705058335,2.4133211797666605,LOW,1
14,04004b,ETH636,2025-12-29 08:44:04,0.0,88.41178300580886,4.635286797676457,LOW,1
15,04004b,ETH637,2025-12-30 01:38:40,0.0,93.88361619865047,2.4465535205398115,LOW,1
16,04004b,ETH637,2025-12-30 04:18:35,0.0,96.42678271507503,1.4292869139699862,LOW,1
17,040062,ETH3857,2025-12-29 04:44:07,0.0,93.09709237628164,2.7611630494873456,LOW,1
18,040062,ETH3857,2025-12-29 06:54:07,0.0,96.84175878350032,1.2632964865998701,LOW,1
19,040066,ETH607,2025-12-29 01:44:09,0.0,94.14449754676343,2.3422009812946274,LOW,1
20,040066,ETH607,2025-12-29 03:14:06,0.0,98.37744175900026,0.649023296399895,LOW,1
21,040066,ETH606,2025-12-30 06:58:37,0.0,89.9043857664787,4.038245693408522,LOW,1
22,040066,ETH606,2025-12-30 08:38:36,0.0,92.12969707975577,3.1481211680976915,LOW,1
23,040075,ETH688,2025-12-30 00:08:41,10.0,75.41525020853045,15.83389991658782,LOW,1
24,040075,ETH687,2025-12-30 03:18:38,0.0,75.66655303824142,9.733378784703433,LOW,1
25,040075,ETH687,2025-12-30 04:28:41,0.0,91.8055757392748,3.2777697042900797,LOW,1
26,040087,ETH678,2025-12-30 05:28:36,0.0,97.09191389542131,1.1632344418314744,LOW,1
27,040087,ETH678,2025-12-30 06:58:37,35.0,42.01618527469902,44.1935258901204,MEDIUM,1
28,040087,ETH678,2025-12-30 09:08:33,35.0,48.4060143161241,41.63759427355036,MEDIUM,1
29,040101,ETH608,2025-12-29 06:54:07,0.0,93.98718710257094,2.4051251589716234,LOW,1
30,040101,ETH609,2025-12-30 03:28:39,0.0,84.99087822932954,6.003648708268185,LOW,1
31,040103,ETH645,2025-12-29 02:44:02,0.0,96.02969119909949,1.5881235203602047,LOW,1
32,040103,ETH644,2025-12-30 06:38:36,0.0,96.83678746996175,1.2652850120153005,LOW,1
33,040103,ETH644,2025-12-30 08:18:37,0.0,87.78181936689626,4.887272253241497,LOW,1
34,040105,ETH640,2025-12-29 01:34:05,35.0,65.05369333784154,34.978522664863384,MEDIUM,1
35,040105,ETH611,2025-12-29 04:34:06,0.0,70.59286327375831,11.762854690496676,LOW,1
36,040105,ETH610,2025-12-30 06:28:37,35.0,53.61537269292632,39.55385092282947,MEDIUM,1
37,040106,ETH606,2025-12-29 06:44:08,0.0,93.98808123782442,2.4047675048702333,LOW,1
38,040106,ETH606,2025-12-29 08:24:06,0.0,94.06659471061167,2.373362115755333,LOW,1
39,040106,ETH607,2025-12-30 01:08:40,0.0,92.15581096798489,3.137675612806044,LOW,1
40,040106,ETH607,2025-12-30 03:18:38,0.0,95.62928471078938,1.748286115684249,LOW,1
41,040126,ETH628,2025-12-30 06:48:37,0.0,96.68846927802218,1.3246122887911271,LOW,1
42,040134,ETH684,2025-12-30 07:28:36,0.0,96.78603127903288,1.2855874883868468,LOW,1
